1770803058.0726244, Zone_A, 18.2, 40, OPERATIONAL
1770803188.2243114, Zone_A, 32, 35, OPERATIONAL
1770803196.719488, Zone_A, 32, 35, OPERATIONAL
1770803205.1066725, Zone_A, 32, 35, OPERATIONAL
1770803213.3951228, Zone_A, 32, 35, OPERATIONAL
1770803221.802059, Zone_A, 32, 35, OPERATIONAL
1770803458.0313091, Zone_A, 23.5, 35, OPERATIONAL
1770803866.1103048, Zone_A, 24.6, 35, OPERATIONAL
1770803875.2168748, Zone_A, 20.3, 35, OPERATIONAL
1770803885.2978747, Zone_A, 20.3, 35, OPERATIONAL
1770805068.727577, Zone_A, 29.9, 35, OPERATIONAL
1770805283.2205336, Zone_A, 22.5, 43, OPERATIONAL
1770805292.0330346, Zone_A, 22.5, 43, OPERATIONAL
1770805300.6059678, Zone_A, 22.5, 43, OPERATIONAL
1770805317.811148, Zone_A, 22.5, 43, OPERATIONAL
1770805328.0316935, Zone_A, 22.5, 43, OPERATIONAL
1770806117.2539277, Zone_A, 35.2, 53, OPERATIONAL
1770806126.9881525, Zone_A, 35.2, 53, OPERATIONAL
1770806138.8493862, Zone_A, 35.2, 53, OPERATIONAL
1770806150.7274747, Zone_A, 35.2, 53, OPERATIONAL
